OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Load,Import,Price,Node
5/3/2018,3,5,5,16,3.21,1613.75,24524.33,6108,15.63877,TH_ZP26
5/3/2018,3,5,5,17,3.21,1469.54,24941.26,6257,16.07492,TH_ZP26
5/3/2018,3,5,5,18,3.21,1161.75,25197.76,6826,22.31916,TH_ZP26
5/3/2018,3,5,5,19,3.21,533.52,25704.55,8406,31.72218,TH_ZP26
5/3/2018,3,5,5,20,3.21,55.66,26418.16,8825,40.34917,TH_ZP26
5/3/2018,3,5,5,21,3.21,0,27337.63,8962,55.58812,TH_ZP26
5/3/2018,3,5,5,22,3.21,0,26408.42,8804,42.96728,TH_ZP26
5/3/2018,3,5,5,23,3.21,0,24021.33,8634.42,24.80098,TH_ZP26
5/3/2018,3,5,5,24,3.21,0,22200.01,8529,22.63855,TH_ZP26
5/4/2018,4,5,6,1,3.13,0,20884.53,8234,16.05,TH_ZP26
5/4/2018,4,5,6,2,3.13,0,19959.47,8076,13.23551,TH_ZP26
5/4/2018,4,5,6,3,3.13,0,19307.1,8063,12,TH_ZP26
5/4/2018,4,5,6,4,3.13,0,19180.05,8078,12,TH_ZP26
5/4/2018,4,5,6,5,3.13,0,19467.35,8039,13.90426,TH_ZP26
5/4/2018,4,5,6,6,3.13,0,20616.02,8500,33.15844,TH_ZP26
5/4/2018,4,5,6,7,3.13,77.64,22211.51,8521,43.33599,TH_ZP26
5/4/2018,4,5,6,8,3.13,635.29,23355.4,7262.34,25.81156,TH_ZP26
5/4/2018,4,5,6,9,3.13,1233.86,23695.36,6815,16.35723,TH_ZP26
5/4/2018,4,5,6,10,3.13,1485.65,23627.25,6683,13.85463,TH_ZP26
5/4/2018,4,5,6,11,3.13,1640.39,24260.29,6674,12.7205,TH_ZP26
5/4/2018,4,5,6,12,3.13,1655.85,24602.21,6783,13.17797,TH_ZP26
5/4/2018,4,5,6,13,3.13,1649.68,24438.91,6529.26,13.30426,TH_ZP26
5/4/2018,4,5,6,14,3.13,1640.64,25029.13,6614,14.21211,TH_ZP26
5/4/2018,4,5,6,15,3.13,1617.52,25896.18,6797,17.53954,TH_ZP26
5/4/2018,4,5,6,16,3.13,1540.47,26380.4,6746,20.63261,TH_ZP26
5/4/2018,4,5,6,17,3.13,1346.18,26771.16,6584,22.11049,TH_ZP26
